id	row_type	owner_cluster	player_behavior	source_owners	defs	harmony_patches	bridge_contracts	rw16_touchpoints	rw14_touchpoints	hook_intent	primary_scenario	supporting_scenarios	required_passes	evidence_state	port_delta_state	last_evidence	open_questions	duplicate_guard	notes
A.STARTUP.LOAD	feature	startup	Mod loads in RimWorld 1.6, package identity and load folders select 1.6 assembly, assets and Harmony patches initialize without load errors.	Source/Main.cs;Source/Assets.cs;Source/Patches.cs;Source/CustomPawnState.cs;Source/ZombieRenderCompat.cs;Source/Service.cs;Source/ZombieLand.csproj	About/About.xml;About/Manifest.xml;LoadFolders.xml;1.6/Assemblies/ZombieLand.dll;Resources/*;Textures/*;Sounds/*	Assets.LoadAssetBundle;MainMenuDrawer_Init_Patch;ParseHelper_FromString_Patch;Root_Update_Patch;Root_Shutdown_Patch;MemoryUtility_ClearAllMapsAndWorld_Patch;TimeControls_DoTimeControlsGUI_Patch	zombieland/startup_support_state;rimbridge/list_logs	UIRoot_Entry.Init;ParseHelper.FromString;MainMenuDrawer.Init;TimeControls.DoTimeControlsGUI;MemoryUtility.ClearAllMapsAndWorld;Root.Update;Root.Shutdown	unknown	Prove cold-load, asset bundle, parse migrations, root services, and patch-owner startup state.	S-Startup-ColdLoad	S-Source-Patch-Audit;S-Visual-Lineup	SOURCE_AUDIT;RW16_TARGET_AUDIT;DEF_RESOLUTION;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN;BRIDGE_TOOL_REVIEW	contract_runtime	resolved	TEST_COVERAGE.md lines 40-66;GitHub fetch About/About.xml;LoadFolders.xml;Source/ZombieLand.csproj	Need periodic cold-load recheck after new commits and after changing package refs.	Owns startup load services only; do not duplicate settings UI or per-feature runtime behavior.	Project targets net472 and outputs to 1.6/Assemblies; About.xml supports 1.4 and 1.6; LoadFolders maps v1.6 to root plus 1.6.
A.DEFS.COLDLOAD	feature	defs_assets	Players see no missing defs, textures, sounds, shaders, or unresolved XML references during cold load.	Source/ZombieDefs.cs;Source/Assets.cs;Source/GraphicToolbox.cs;Source/TextureAtlas.cs;Source/GraphicsDatabase.cs;Source/VariableGraphic.cs;Source/VariableMaterial.cs	Defs/Zombie_BodyParts.xml;Defs/Zombie_Damages.xml;Defs/Zombie_Effecter.xml;Defs/Zombie_Faction.xml;Defs/Zombie_Hediffs.xml;Defs/Zombie_Jobs.xml;Defs/Zombie_Kinds.xml;Defs/Zombie_Letter.xml;Defs/Zombie_LifeStages.xml;Defs/Zombie_Maneuvers.xml;Defs/Zombie_MentalState.xml;Defs/Zombie_Needs.xml;Defs/Zombie_Quests.xml;Defs/Zombie_Race.xml;Defs/Zombie_Recipes.xml;Defs/Zombie_Sounds.xml;Defs/Zombie_ThingCategories.xml;Defs/Zombie_Things.xml;Defs/Zombie_ThinkTree.xml;Defs/Zombie_Thoughts.xml;Defs/Zombie_ToolCapacity.xml;Defs/Zombie_Workgivers.xml	not_applicable	zombieland/startup_support_state;rimbridge/list_logs	DefDatabase load;ShaderDatabase;ContentFinder;SoundDef resolution	unknown	Resolve all Zombieland def families, graphics and sounds before gameplay tests.	S-Startup-ColdLoad	S-Visual-Lineup;S-Defense-Room;S-Contamination-C6	SOURCE_AUDIT;DEF_RESOLUTION;SCENARIO_RUNTIME;VISUAL_UI;LOG_CLEAN	contract_runtime	resolved	TEST_COVERAGE.md startup-support evidence;TEST_SCENARIOS.md S-Source-Patch-Audit runtime evidence	Periodic rerun after adding or changing defs, textures, sounds, or asset bundle contents.	Owns cold-load def resolution; behavior of each def family is owned by DEF.* rows.	2026-05-31 startup contract enumerated 154 active Zombieland-owned defs across 23 DefDatabase types, initialized 40 ThingDef graphics and 2 PawnKindDef body graphics, verified 38 SoundDefs with resolved grains, and had clean warning-or-higher logs; GraphicsDatabase owns texture recolor/twinkie/custom icon cache feeding those graphics.
A.HARMONY.INVENTORY	supporting_infra	startup	Patch inventory establishes which Harmony patches must be audited, runtime-recorded, or negative-space-disposed.	Source/Patches.cs;Source/Patches_Hostility.cs;Source/ContaminationPatches*.cs;Source/Assets.cs;Source/Service.cs;Source/CustomPawnState.cs;Source/ZombieAreaManager.cs;Source/SafeReflections.cs;Source/GlobalSuppressions.cs	not_applicable	current_inventory:257_static_patch_rows;40_dynamic_patch_rows;4_class_level_base_rows	scripts/coverage-inventory.sh;TEST_PATCH_AUDIT.md	all patched RimWorld 1.6 targets;needs_decompiler_verification for rows without member IDs	unknown	Prevent stale patch targets and duplicated patch testing.	S-Source-Patch-Audit	all scenario rows with patch rows	SOURCE_AUDIT;RW16_TARGET_AUDIT;RW14_RW16_SEMANTIC_DIFF;NEGATIVE_SPACE_1_6;CONTRACT_RUNTIME;BRIDGE_TOOL_REVIEW	partial	partial	TEST_COVERAGE.md inventory lines 59-65;TEST_PATCH_AUDIT.md dynamic summary;local 2026-05-31 coverage-inventory.sh rerun	Standing governance: keep using coverage-inventory.sh for exact regeneration, and add explicit PATCH rows only where row-level target disposition improves planning beyond TEST_PATCH_AUDIT and owning feature rows.	Owns patch inventory governance and reflection helper infrastructure; individual behavior belongs to PATCH.* and feature rows.	Local inventory rerun reproduced 257 static, 40 dynamic and 4 base rows; dynamic rows remain 18 contamination, 13 core, 7 optional-integration and 2 specialized. TEST_PATCH_AUDIT mentions all 301 patch classes while ZL_COVERAGE_INDEX intentionally expands only useful PATCH rows.
B.SETTINGS.WORLD_DEFAULTS	feature	settings	Players can configure defaults, in-game settings, keyframes, modals, and colonist toggles that persist and affect downstream behavior.	Source/Main.cs;Source/ZombieSettings.cs;Source/SettingsDialog.cs;Source/DialogExtensions.cs;Source/Dialog_Settings.cs;Source/Dialog_AdvancedSettings.cs;Source/Dialog_ApparelBlacklist.cs;Source/Dialog_BiomeList.cs;Source/Dialog_ThumperSettings.cs;Source/Dialog_SaveThenUninstall.cs;Source/Dialog_ZombieDebugActionMenu.cs;Source/Dialog_ContaminationDebugSettings.cs;Source/Gizmos.cs;Source/ColonistSettings.cs;Source/ListableOption_Zombieland.cs	not_applicable	WorkGiver_Scanner_HasJobOnCell_Patches;WorkGiver_Scanner_JobOnCell_Patches;WorkGiver_Scanner_HasJobOnThing_Patches;WorkGiver_Scanner_JobOnThing_Patches;PawnApparelGenerator_PossibleApparelSet_PairOverlapsAnything_Patch;PriorityWork_GetGizmos_Patch	zombieland/settings_state;zombieland/get_status;rimworld/list_selected_gizmos	ModSettings;Game.FinalizeInit;WorkGiver_Scanner;Dialog_ModSettings;Gizmo.GetGizmos	unknown	Settings and colonist toggles must survive save-load and drive work/avoidance/serum behavior.	S-Settings-Persistence	S-Defense-Room;S-Infection-Medical	SOURCE_AUDIT;RW16_TARGET_AUDIT;CONTRACT_RUNTIME;SCENARIO_RUNTIME;SAVE_LOAD;VISUAL_UI;LOG_CLEAN;PLAYER_FLOW	save_load	partial	TEST_COVERAGE.md settings evidence;TEST_SCENARIOS.md S-Settings-Persistence defaults-write-test/save-then-uninstall/gizmo/modal/mouse-driven evidence	Mouse-driven new-colony wizard settings, main settings radio edit, advanced checkbox, biome-list checkbox, and manual colonist-settings hover are covered; remaining modal/field edit types and downstream visible UI-edited behavior are additive risk-based work.	Owns settings persistence, shared dialog helpers, debug settings surface, and per-colonist UI toggles; downstream behavior is owned by the feature rows it changes; destructive uninstall save-copy behavior is owned by M.UNINSTALL.HYGIENE.	Live evidence covers default-settings restart persistence, world settings, keyframes, new-colony wizard settings, modal backing states including mouse-driven main spawn timing radio edit plus advanced and biome-list checkbox edits, manual colonist-settings hover, non-destructive save-then-uninstall UI entry, colonist toggles, broad WorkGiver fanout predicates, and direct PriorityWork.GetGizmos commands from Source/Gizmos.cs.
B.SETTINGS.KEYFRAMES	feature	settings	Players can add time keyframes and get deterministic interpolation over colony days.	Source/ZombieSettings.cs;Source/Dialog_Settings.cs;Source/DialogTimeHeader.cs;Source/MultiOptions.cs	not_applicable	not_applicable	zombieland/settings_state	ZombieSettings.CalculateInterpolation;Scribe collections	unknown	Port time-based difficulty curves and settings interpolation.	S-Settings-Persistence	not_applicable	SOURCE_AUDIT;CONTRACT_RUNTIME;SCENARIO_RUNTIME;SAVE_LOAD	save_load	resolved	TEST_COVERAGE.md settings evidence	Need UI-level add/delete keyframe mouse path if desired.	Owns interpolation math and persistence only; visual editing controls belong to B.SETTINGS.WORLD_DEFAULTS.	Evidence includes day 0/1/2/3/6 samples and reloaded keyframe ticks.
C.CORE.ZOMBIE_LOOP	feature	core_zombie	Zombies spawn, tick under budget, sense, wander, attack, burn, bleed, die, leave corpses, and clean up without breaking normal pawn behavior.	Source/Zombie.cs;Source/ZombieGenerator.cs;Source/ZombieStateHandler.cs;Source/JobDriver_Stumble.cs;Source/JobGiver.cs;Source/ZombiePathing.cs;Source/PheromoneGrid.cs;Source/ZombieWanderer.cs;Source/ZombieLeaner.cs;Source/ZombieDamageFlasher.cs;Source/ZombieCorpse.cs;Source/ZombieStains.cs;Source/TickManager.cs	Defs/Zombie_Race.xml;Defs/Zombie_Kinds.xml;Defs/Zombie_ThinkTree.xml;Defs/Zombie_Jobs.xml;Defs/Zombie_Damages.xml;Defs/Zombie_Hediffs.xml	Map_FinalizeLoading_Patch;Projectile_Launch_Patch;Pawn_PathFollower_WillCollideWithPawnAt_Patch;PawnCollisionTweenerUtility_PawnCollisionPosOffsetFor_Patch;GenClamor_DoClamor_Patch;Pawn_HearClamor_Patch;Pawn_RecordsTracker_*;Pawn_NeedsTracker_*;Pawn_HealthTracker_DropBloodFilth_Patch	zombieland/zombie_ticking_feedback_contract;zombieland/zombie_ticking_budget_contract;zombieland/zombie_damage_log_association_suppression;zombieland/zombie_blood_filth_contract;zombieland/zombie_fire_*;zombieland/zombie_records_suppression;zombieland/zombie_clamor_suppression	Pawn.Tick;TickManager.DoSingleTick;Pawn_PathFollower;GenClamor;Pawn.HearClamor;Pawn_MindState.Notify_ClamorImpact;Pawn_NeedsTracker;Pawn_HealthTracker;Map.FinalizeLoading	unknown	Keep Zombieland pawns custom-controlled and performant without corrupting vanilla pawns.	S-Core-Horde-Loop	S-Special-Gauntlet;S-Incident-Threat;S-Defense-Room;S-Dense-Performance	SOURCE_AUDIT;RW16_TARGET_AUDIT;CONTRACT_RUNTIME;SCENARIO_RUNTIME;SAVE_LOAD;LOG_CLEAN;PERFORMANCE_SMOKE	save_load	resolved_runtime	TEST_COVERAGE.md core mixed horde and dense performance evidence;TEST_SCENARIOS.md S-Core-Horde-Loop;S-Dense-Performance	Direct wall-smash/destruction or eating aftermath only if scenario-level co-location becomes necessary.	Owns core zombie lifecycle; special abilities, infection and contamination are separate clusters.	Mixed horde save-load, direct zombie-hearer clamor suppression, and dense 80-zombie normal-speed smoke are covered with clean logs; keep new work to named branch gaps instead of rerunning baseline horde loop.
C.SPECIAL.ZOMBIES	feature	core_zombie	Special zombies exhibit type-specific visuals, attacks, damage modifiers, deaths, tar/smoke/electric/bomb effects, and save-load behavior.	Source/ZombieSpitter.cs;Source/ZombieBall.cs;Source/ZombieBlob.cs;Source/ZombieBlobRenderer.cs;Source/JobDriver_Spitter.cs;Source/JobDriver_Blob.cs;Source/JobDriver_Sabotage.cs;Source/TarSmoke.cs;Source/TarSlime.cs;Source/BombVest.cs;Source/OverlayDrawer.cs	Defs/Zombie_Kinds.xml;Defs/Zombie_Things.xml;Defs/Zombie_Damages.xml;Defs/Zombie_Effecter.xml;Defs/Zombie_Sounds.xml	DamageWorker_AddInjury_ApplyDamageToPart_Patch;ArmorUtility_GetPostArmorDamage_Patch;StunHandler_Notify_DamageApplied_Patch;Pawn_TryGetAttackVerb_Patch;Verb_MeleeAttackDamage_DamageInfosToApply_Patch;Pawn_StoryTracker_SkinColorBase_Patch;Pawn_GeneTracker_AddGene_Patch	zombieland/special_gauntlet_state;zombieland/emp_electrifier;zombieland/active_electrifier_attack_verb_contract;zombieland/area_workflow_state actionMode:special-damage;zombieland/spawn_blob;zombieland/spawn_spitter_visual_fixture	DamageWorker_AddInjury.ApplyDamageToPart;ArmorUtility.GetPostArmorDamage;Pawn.TryGetAttackVerb;StunHandler.Notify_DamageApplied;PawnRenderNode_*	unknown	Special abilities must integrate with targeting, damage, visuals, and cleanup.	S-Special-Gauntlet	S-Hostility-Area-Workflow;S-Visual-Lineup;S-Defense-Room	SOURCE_AUDIT;RW16_TARGET_AUDIT;CONTRACT_RUNTIME;SCENARIO_RUNTIME;SAVE_LOAD;VISUAL_UI;LOG_CLEAN;PERFORMANCE_SMOKE	save_load	resolved_runtime	TEST_COVERAGE.md special action/death gauntlet evidence;TEST_SCENARIOS.md S-Special-Gauntlet	Remaining additive work is broader natural combat/defense integration and optional DLC interactions, not the controlled special action/death gauntlet.	Owns special zombie behavior only; generic zombie ticking remains C.CORE.ZOMBIE_LOOP.	Blob finalizer crash was fixed; special_gauntlet_state has setup/effects/read modes, save-load screenshots, and clean logs.
D.PATHING.DOOR_AVOIDANCE	feature	pathing	Colonists avoid zombie-danger doors/work unless drafted/forced, while zombies and contamination jobs do not crash pathing.	Source/Patches.cs;Source/ZombieAvoider.cs;Source/ConcurrentQueue.cs;Source/ZombieAreaManager.cs;Source/WorkGivers.cs;Source/JobDriver_ContaminationHoard.cs	not_applicable	Building_Door_PawnCanOpen_Patch;Pawn_PathFollower_StartPath_Patch;Pawn_PathFollower_NeedNewPath_Patch;Pawn_PathFollower_SetupMoveIntoNextCell_Patch;Pawn_PathFollower_CostToMoveIntoCell_Patch;Pawn_PathFollower_WillCollideWithPawnAt_Patch;WorkGiver_Scanner_*	zombieland/contamination_hoard_pather_failure_contract;zombieland/area_workflow_state actionMode:behavior;zombieland/defense_room_state actionMode:wallDoorPressure;zombieland/tar_slime_move_cost_contract	Building_Door.PawnCanOpen;Building_Door.FreePassage;Building_Door.WillCloseSoon;Pawn_PathFollower.StartPath;NeedNewPath;SetupMoveIntoNextCell;CostToMoveIntoCell;WillCollideWithPawnAt	unknown	Preserve avoid-grid semantics without recursive 1.6 door calls or pather callback hazards.	S-Defense-Room	S-Core-Horde-Loop;C5-player-effects;S-Settings-Persistence	SOURCE_AUDIT;RW16_TARGET_AUDIT;RW14_RW16_SEMANTIC_DIFF;CONTRACT_RUNTIME;SCENARIO_RUNTIME;SAVE_LOAD;LOG_CLEAN;PLAYER_FLOW	resolved_runtime	resolved	transcript PawnCanOpen/FreePassage episode;TEST_PATCH_AUDIT.md row Source/Patches.cs:1543	Need broad door/avoidance visual player-flow proof after the specific recursion fix.	Owns door/pathing semantic hook; Source/ConcurrentQueue.cs is supporting infrastructure for ZombieAvoider queues; workgiver setting predicates are supporting only.	Known incident represented: do not call FreePassage inside PawnCanOpen postfix because it can reach WillCloseSoon and recurse into PawnCanOpen.
E.HOSTILITY.TARGETING	feature	hostility	Player, enemy, animal, turret, mech, drafted and undrafted actors target or ignore zombies according to settings and special-state rules.	Source/Patches_Hostility.cs;Source/Patches.cs;Source/ZombieAreaManager.cs;Source/ZombieAvoider.cs;Source/WorkGivers.cs	Defs/Zombie_Faction.xml;Defs/Zombie_Kinds.xml;Defs/Zombie_MentalState.xml	AttackTargetFinder_BestAttackTarget_Patch;AttackTargetFinder_GetAvailableShootingTargetsByScore_Patch;AttackTargetFinder_FriendlyFire_Patch;GenHostility_HostileTo_Patch;JobDriver_Wait_CheckForAutoAttack_Patch;DangerWatcher_AffectsStoryDanger_Patch;FleeUtility_ShouldFleeFrom_Patch;Verb_MeleeAttack_TryCastShot_Patch	zombieland/area_workflow_state actionMode:targeting;zombieland/area_workflow_state actionMode:danger-flee;zombieland/area_workflow_state actionMode:smart-melee;zombieland/active_electrifier_attack_verb_contract	AttackTargetFinder;GenHostility.HostileTo;JobDriver_Wait.CheckForAutoAttack;DangerWatcher.AffectsStoryDanger;FleeUtility.ShouldFleeFrom;Verb_MeleeAttack.TryCastShot	unknown	Replace vanilla pawn targeting with Zombieland-compatible hostile/harmless/special rules.	S-Hostility-Area-Workflow	S-Defense-Room;S-Special-Gauntlet	SOURCE_AUDIT;RW16_TARGET_AUDIT;CONTRACT_RUNTIME;SCENARIO_RUNTIME;VISUAL_UI;LOG_CLEAN;PLAYER_FLOW	resolved_runtime	resolved	TEST_COVERAGE.md hostility lines 52-71	Remaining additive work is long-form mixed colony scenario, not patch-boundary proof.	Owns combat targeting and hostility decisions; projectile damage and special ability effects use C.SPECIAL.ZOMBIES.	Docs record several real bugs found/fixed in targeting cache, player mech filtering and confused-zombie setup.
F.RENDERING.VISUALS	feature	rendering	Players see correct zombie body/head graphics, missing-head behavior, corpse/downed angles, overlays, labels, motes, projectiles, icons and selection feedback.	Source/CustomPawnState.cs;Source/ZombieRenderCompat.cs;Source/ZombieLeaner.cs;Source/ZombieDamageFlasher.cs;Source/ZombieBlobRenderer.cs;Source/Assets.cs;Source/TextureAtlas.cs;Source/GraphicsDatabase.cs;Source/OverlayDrawer.cs;Source/ContaminationPatches.cs	Defs/Zombie_Effecter.xml;Defs/Zombie_Sounds.xml;Textures/*;Resources/*	Pawn_DrawTracker_Constructor_Patch;PawnRenderNode_Body_GraphicFor_Patch;PawnRenderNode_Head_GraphicFor_Patch;PawnRenderer_BodyAngle_Patch;PawnDownedWiggler_ProcessPostTickVisuals_Patch;Widgets_ThingIcon_Patch;MouseoverReadout_MouseoverReadoutOnGUI_Patch;InspectPaneFiller_DoPaneContentsFor_Patch	zombieland/spawn_reference_lineup;zombieland/area_workflow_state actionMode:render-node-graphics;zombieland/area_workflow_state actionMode:downed-crawler-visuals;zombieland/contamination_ui_quest_contract	PawnRenderNode_Body.GraphicFor;PawnRenderNode_Head.GraphicFor;PawnRenderer.BodyAngle;PawnDownedWiggler.ProcessPostTickVisuals;Widgets.ThingIcon;MouseoverReadout.MouseoverReadoutOnGUI	PawnGraphicSet.HeadMatAt obsolete 1.4 target	Adapt 1.4 graphics hooks to 1.6 pawn render tree and visual UI surfaces.	S-Visual-Lineup	S-Special-Gauntlet;C6-ui-quest;S-Area-Workflow	SOURCE_AUDIT;RW16_TARGET_AUDIT;RW14_RW16_SEMANTIC_DIFF;CONTRACT_RUNTIME;SCENARIO_RUNTIME;SAVE_LOAD;VISUAL_UI;LOG_CLEAN	save_load	resolved_runtime	TEST_COVERAGE.md render-node, special visual save-load, C6 and defense visual evidence;TEST_PATCH_AUDIT obsolete HeadMatAt row	No open baseline visual pass remains in the core active-mod configuration; add work only for changed art/effect code, supported debug overlays, or optional-mod/DLC visual variants.	Owns what the player sees; GraphicsDatabase also feeds cold-load graphic resolution; runtime behavior is owned by core/special/contamination rows.	HeadMatAt is a disposed 1.4 target replaced by 1.6 render-node patches; current evidence covers custom body/head routing, no-head guard, downed/corpse angles, special visual save-load screenshots, C6 clean item/pawn/corpse negatives, defense-room shocker/thumper visuals, and clean logs after reloading ZL_Special_Visual_Gauntlet_00.
